Referencia,Valor,Cantidad,Precio/ud. [€],Precio ext. [€],Vendedor
"C32,C42,C52",10.0p,3,0.0023,0.0069,LCSC
"C18,C19",15.0p,2,0.0045,0.0090,LCSC
"C13,C14",20.0p,2,0.0023,0.0046,LCSC
"C26,C30,C36,C40,C46,C50",1.0n,6,0.0024,0.0144,LCSC
"C1,C3,C6,C7,C8,C9,C10,C11,C12,C15,C16,C21,C24,C28,C29,C31,C34,C38,C39,C41,C44,C48,C49,C51,C53,C54,C55,C56,C57,C58",100.0n,30,0.0020,0.0600,LCSC
"C23,C33,C43",2.20u,3,0.0216,0.0648,LCSC
"C2,C4,C5,C17,C22,C27,C37,C47",10.0u,8,0.0199,0.1592,LCSC
L1,10.0u,1,0.0100,0.0100,LCSC
"C25,C35,C45",1000.0u,3,0.2556,0.7668,LCSC
F1,2.0A,1,0.0956,0.0956,LCSC
"R22,R32,R35,R43,R46,R54,R57",10.00R,7,0.0009,0.0063,LCSC
F2,15.0A,1,0.0922,0.0922,LCSC
"R16,R17,R66,R67,R70,R71,R74,R75",22.00R,8,0.0011,0.0088,LCSC
J4,24.0V IN,1,0.1980,0.1980,LCSC
L2,40mm fan,1,2.1100,2.1100,AliExpress
"R31,R36,R42,R47,R53,R58",330.00R,6,0.0010,0.0060,LCSC
"R24,R25,R29,R30",1.0k,4,0.0010,0.0040,LCSC
"R2,R8,R12,R13,R14,R20,R21,R23,R26,R27,R28,R33,R37,R41,R44,R48,R52,R55,R59,R63",10.0k,20,0.0010,0.0200,LCSC
"TH1,TH2,TH3,TH4,TH5,TH6",10.0k,6,0.0528,0.3168,LCSC
Y3,32.7680kHz,1,0.1596,0.1596,LCSC
Y1,0.010z,1,0.0653,0.0653,LCSC
"J5,J6,J7,J8,J10,J11",-,6,0.0000,0.0000,LCSC
"R7,R18,R34,R45,R56,R64,R65,R68,R69,R72,R73",1000.0%k 1,11,0.0010,0.0110,LCSC
"R40,R51,R62",1.0k5,3,0.0009,0.0027,LCSC
"R10,R19,R38,R49,R60",100.0%k 1,5,0.0010,0.0050,LCSC
"D17,D18,D20,D22,D23,D25,D27,D28,D30",1N4148,9,0.0150,0.1350,LCSC
"R1,R15",24000.0%R 1,2,0.0010,0.0020,LCSC
"R39,R50,R61",2mR 1%,3,0.0560,0.1680,LCSC
C20,2u2 X7R Ceramic,1,0.0191,0.0191,LCSC
"R3,R4,R5,R6",39000.0%R 1,4,0.0009,0.0036,LCSC
"R9,R11",5.0k1,2,0.0008,0.0016,LCSC
U4,ADS7830,1,1.8020,1.8020,LCSC
D11,B240A-13-F,1,0.0511,0.0511,LCSC
SW1,BOOT0,1,0.0500,0.0500,LCSC
"D3,D4,D5,D6,D7",D5V0L2B3T,5,0.0333,0.1665,LCSC
"D1,D13,D21,D26,D31",DESD5V0U1BA,5,0.0429,0.2145,LCSC
Q1,DMG3402L,1,0.0678,0.0678,LCSC
F3,Fuseholder,1,0.2042,0.2042,LCSC
"D8,D9,D10,D15,D16",GREEN,5,0.0051,0.0255,LCSC
"U6,U8,U10",INA826,3,0.6453,1.9359,LCSC
"U5,U7,U9",IR2103,3,0.2930,0.8790,LCSC
"Q2,Q3,Q4,Q5,Q6,Q7",IRFB4321,6,1.1651,6.9906,LCSC
U2,LM317,1,0.2883,0.2883,LCSC
U1,LM317L,1,0.3248,0.3248,LCSC
"H1,H2,H3,H4",M3x5,4,0.0300,0.1200,Electrónica Embajadores
J9,MOTOR,1,0.3140,0.3140,LCSC
SW2,NRST,1,0.0500,0.0500,LCSC
D2,SD12CT1,1,0.2012,0.2012,LCSC
J1,SENSORES HALL,1,0.0644,0.0644,LCSC
"D14,D19,D24,D29",SMBJ28CA,4,0.0972,0.3888,LCSC
U3,STM32F411CEUx,1,2.6017,2.6017,LCSC
D12,STPS40170C,1,0.7120,0.7120,LCSC
J3,SWD-I^{2}C,1,0.0440,0.0440,LCSC
J2,USB C Receptacle,1,0.0560,0.0560,LCSC
SCREW,Case screw,6,0.0632,0.3792,Electrónica Embajadores
STANDOFF,Case standoffs,4,0.1500,0.6000,Electrónica Embajadores
TO-220 Heatsink,-,1,0.1240,0.1240,AliExpress
Large MOSFET heatsink (150x19.7x15.6mm),-,1,3.3900,3.3900,AliExpress
Thermal Silicon,-,1,2.0700,2.0700,AliExpress
Solder Paste,-,1,2.0200,2.0200,AliExpress
PCB + Stencil,-,1,10.992000000000001,10.9920,JLCPCB
Gastos de envío LCSC,,,,2.3200,LCSC
,,,,,
TOTAL/UD [€],,,,43.9738
